clinic,rating,review,evidence_quote,primary_label,secondary_labels,patient_stage,automation_tier,product_surface,root_cause,severity,commercial_relevance
CRGH (The Centre for Reproductive and Genetic Health),1,Edit (27.08.2023): I'm editing in light of CRGH asking me to contact them. Don't be fooled by this token response. I tried to raise concerns  a few times and they had no interest in what I had to say. All they care about is making money. Our consultant had no interest in doing what was best for us.,tried to raise concerns a few times,complaint_handling,treatment_coordination,complaint,human_assisted,complaint_triage_monitor,ignored concerns,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,We started treatment with CRGH with lots of hope after a failed cycle in NHS.  The doctor asked us to redo lots of test (though we had done this a year back) and we did everything and spent a fortune hoping there will be some positive output.  After all the investigation tests and history of tests f,doctor prepared a worst plan,treatment_coordination,financial_transparency,treatment,workflow_solvable,patient_pathway_coordinator,no proactive update,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,"Disgraceful. Overrated. Unprofessional. After two failed treatments (paid upfront before any procedures take place) and after 14 months when our last treatment took place, their idiotic Finance …",chasing us for money during a pandemic,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,no payment plan options,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,"This is very bad service, they only care about charging money from the patient but discard the embryo while money has been paid. The doctor consulted the opposite advice while the storage department requires more consent form which is …",they only care about charging money from the patient,financial_transparency,,billing,workflow_solvable,financial_consent_flow,hidden charges,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,"This clinic is a total joke.  Went in for an initial consulation, came out with a £2000 bill for ""tests"".  Shame they didn't mention any additional charges on the day of the consulation.  Admin team are useless. …",Shame they didn't mention any additional charges on the day of the consulation.,financial_transparency,,billing,workflow_solvable,financial_consent_flow,hidden charges,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,"Shocking service, avoid at all costs - from utter lack of responsiveness to emails, inordinate wait time to speak to someone by phone, lack of follow-up to important and time sensitive requests for matters such as a request for PGA testing …",utter lack of responsiveness to emails,inbound_access,results_delivery,enquiry,workflow_solvable,inbound_manager,no response SLA,5,5
CRGH (The Centre for Reproductive and Genetic Health),2,"We have had a very bad experience here. Reasons being: (1) the Dr needed to repeatedly be reminded of patient name and background, (2) No full blood profiling was taken before the cycle, (3) the Dr ignored the findings of a DNA fragmentation report we requested be carried out and (4) triggered too l",Dr ignored the findings of a DNA fragmentation report,treatment_coordination,admin_records,treatment,workflow_solvable,patient_pathway_coordinator,no proactive update,5,5
King's Fertility,1,"Overall experience: negative  Positive experience with Dr Kuga and Dr Sadaf: clear communication, evidence-based discussion, and appropriate expectation-setting. In contrast, the consultation with Mr Kuhan Rajah gave a 5–10% IVF success estimate despite uncertainty about whether fibroids were cavity",taken no accountability,complaint_handling,,complaint,workflow_solvable,complaint_triage_monitor,no accountability,5,5
Queen's Clinic,1,unprofessional. I will never visit this practice again. It has been two weeks of calling to remind them that I still didn't recieve my invoice. It's just an invoice. An invoice! How can I trust them with my treatments or results if they can't even send an invoice.,say one thing and when I arrived its completely different,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,misleading pricing,5,5
CRGH City,1,We are planning to abandon treatment at CRGH city as we have had a terribly stressful experience since the takeover from GENNET.  Firstly we were never informed about takeover happening (receiving only a text message the week it happened to …,we were never informed about takeover happening,treatment_coordination,pre_visit_information,treatment,workflow_solvable,patient_pathway_coordinator,no proactive update,5,5
CRGH City,1,"If i could put 0 stars i would. Avoid - Avoid. The desperation and desire to have children takes you many places, and this is one if the worst ones in the list. They are a well set up business who see no further that the £££ signs. Hidden …",Hidden charges and no transparency,financial_transparency,not_automatable,billing,workflow_solvable,financial_consent_flow,hidden add-ons,5,5
CRGH City,1,"0 % success rate, absolutely 0% client care. Robbed of our savings, demanding more along the way, demaing more after and before you have a chance to forget about them they'll sent letters at home damanding …",Robbed of our savings,financial_transparency,complaint_handling,billing,human_assisted,financial_consent_flow,hidden add-ons,5,5
CRGH City,1,I suggest no one should use this fraud company I have almost spend all my life saving and the have destroy  our embryo without our consent  I will sue them As soon as I help my wife condition (because of city firtlty ) meantal health,destroy our embryo without consent,treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,no consent process,5,5
The Medical Chambers Kensington,1,"I do not recommend Dr. Bataille or The Medical Chambers Kensington. The skin check was shockingly superficial, and the interaction dismissive. I found a serious lack of ethical care, especially around informed consent and communication. Procedures were done without clear explanation or discussion of",The billing was confusing,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,no proactive update,5,5
The Medical Chambers Kensington,1,"December 2024. Be very careful: after being a client for 10 years, I learnt last week that some invoices, dated from NINE months ago, hadn't been covered by my insurance company (not sure why, but maybe). Medical Chambers just decided to charge my card, without giving me even a month delay (when I w",Medical Chambers just decided to charge,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,no proactive update,5,5
The Medical Chambers Kensington,1,"I would give zero stars to Flammarion. My child diagnosed with allergy and at her report she says ""we will consider an epipen in the future"" she was that vague, didn't raise a concern and let us believe that we can battle an accident just with citirizine, which was totally unprofessional the least a","she was that vague, didn't raise a concern",treatment_coordination,results_delivery,treatment,human_assisted,patient_pathway_coordinator,no proactive update,5,5
The Medical Chambers Kensington,1,Very bad experience with medical chambers. My husband was in a very critical condition because of an allergy and asked for an emergency appointment. They never returned his call and Dr GARDETTE never responded. It’s not a good medical centre and MEDICARE is much better. Just don’t go there,They never returned his call,inbound_access,,enquiry,bot_solvable,inbound_manager,no response SLA,5,5
Hormone Health,1,"Minus Zero stars. The worst. Please don't go there it's too expensive and they know NOTHING. I had 2 scans for AFC and when i did my scan somewhere else it was completely different numbers. Also, I've sent them a complaining email, received the automatic one saying “we will come back to you within 4",no one has come back to me,complaint_handling,results_delivery,complaint,workflow_solvable,complaint_triage_monitor,no response SLA,5,5
