"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"The Frater Clinic","https://www.doctify.com/uk/practice/the-frater-clinic","","London, W1G 7HX","General Practice (GP); Holistic Therapy; Mental Health; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics; Sports Rehabilitation; Women's Health","","0","","","","1-133861690","Dr Nelda Frater","Dr Nelda Frater","exact","","","","","","","NOT_FOUND","","","","","Dr Nelda Frater","","","","","","","","","","","","","unknown","","","","",""
"The King Edward Vii Hospital","https://www.doctify.com/uk/practice/the-king-edward-vii-hospital","","London, W1G 6AA","Cardiology; Dental Care; Dermatology; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Urology","","0","","","","1-25660332862","Mr Anthony John Fitzgerald","Mr Philip Anthony Enright Luce","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Philip Anthony Enright Luce","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"GP London W1","https://www.doctify.com/uk/practice/gp-london-w1","","London, W1G 9QW","General Practice (GP); Health Screening; Lifestyle Medicine; Men's Health; Occupational Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Practice of Camilla Dalla Stella","https://www.doctify.com/uk/practice/practice-of-camilla-dalla-stella","","London, W1G 9PF","Health and Social Care; Physiotherapy; Sports & Exercise Medicine; Sports Rehabilitation","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Seymour Clinic Ltd","https://www.doctify.com/uk/practice/seymour-clinic-ltd","","London, W1H 2EH","Cosmetic (Aesthetic) Medicine; Endocrinology & Diabetes; Hair Restoration; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatrics","","0","","","","1-19162051361","","Dr Khalil Ibrahim Ahmed","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Khalil Ibrahim Ahmed","","","","","","","","","","","","","unknown","","","","",""
"Pavilion - Knightsbridge","https://www.doctify.com/uk/practice/pavilion-knightsbridge","","London, SW1X 7JF","Cardiology; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Geriatric Medicine; Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Oncology; Oral & Maxillofacial Surgery; Paediatric Surgery; Rehabilitation Medicine; Urology","","0","","","","1-227836336","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Boston Place Clinic","https://www.doctify.com/uk/practice/boston-place-clinic","","London, NW1 6ER","Cardiology; Chiropractic; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Health and Social Care; Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Physiotherapy; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Smart Clinics","https://www.doctify.com/uk/practice/the-smart-clinics","","London, SW3 2EA","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Susie Astbury's Clinic","https://www.doctify.com/uk/practice/susie-astburys-clinic","","Chelsea, SW1W 8HS","Chiropractic; Dietetics; General Practice (GP); Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition & Diet; Nutritionist; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Physiotherapy; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Lucerne Clinic","https://www.doctify.com/uk/practice/lucerne-clinic","","London, W8 4ED","Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology; Oncology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","0","","","","1-2796591745","Mr Tareq Taysir Ismail","Mr Tareq Taysir Ismail","exact","","","","","","","NOT_FOUND","","","","","Mr Tareq Taysir Ismail","","","","","","","","","","","","","unknown","","","","",""
"Pavilion - Kensington","https://www.doctify.com/uk/practice/pavilion-kensington","","London, W8 4SG","Cardiology; Dermatology; General (Internal) Medicine; General Practice (GP); Gynaecology; Obstetrics & Gynaecology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"193 Whitecross Street Clinic","https://www.doctify.com/uk/practice/193-whitecross-street-clinic","","London, EC1Y 8QP","Cardiology; Chiropractic; Dermatology; Endocrinology; Endocrinology & Diabetes; General (Internal) Medicine; General Practice (GP); Health and Social Care; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Paediatric Respiratory; Paediatrics; Physiotherapy; Psychology; Respiratory Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Canonbury Natural Health Clinic","https://www.doctify.com/uk/practice/canonbury-natural-health-clinic","","London, N1 2UQ","Acupuncture; Holistic Therapy; Nutrition; Osteopathy; Physiotherapy; Psychotherapy; Reflexology; Traditional Chinese Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Acupuncture London North West","https://www.doctify.com/uk/practice/acupuncture-london-north-west","","London, NW2","Acupuncture; Dietetics; General Practice (GP); Holistic Therapy; Obstetrics & Gynaecology; Pain Management; Palliative Medicine; Physiotherapy; Sports & Exercise Medicine; Traditional Chinese Medicine; Women's Health","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Fulham Medical Centre","https://www.doctify.com/uk/practice/the-fulham-medical-centre","","London, SW6 1BG","Chiropractic; Dietetics; General Practice (GP); Health and Social Care; Holistic Therapy; Medical Weight Loss; Mental Health; Nutrition & Diet; Nutritionist; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Oral Medicine; Paediatric Respiratory; Paediatrics; Physiotherapy; Women's Health","","0","","","","1-550987410","Dr Timothy McNicholas","","exact","","","","","","","NOT_FOUND","","","","","Dr Timothy McNicholas","","","","","","","","","","","","","unknown","","","","",""
"IVF Hammersmith","https://www.doctify.com/uk/practice/ivf-hammersmith","","London, W12 0TX","Fertility Medicine; Gastroenterology; Obstetrics & Gynaecology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Laura Tilson Osteopathy","https://www.doctify.com/uk/practice/laura-tilson-osteopathy","","London, SW11 1EQ","Neurology; Osteopathy; Psychology; Sports & Exercise Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Fetal Medicine Research Institute","https://www.doctify.com/uk/practice/the-fetal-medicine-research-institute","","Denmark Hill, SE58BB","Fertility Medicine; Obstetrics; Obstetrics & Gynaecology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Pavilion - Fulham","https://www.doctify.com/uk/practice/pavilion-fulham","","London, SW6 3JW","Cardiology; Dermatology; Gastroenterology; General (Internal) Medicine; General Practice (GP); Geriatric Medicine; Gynaecology; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Paediatric Surgery; Urology","","0","","","","1-227836336","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Heal by Acupuncture","https://www.doctify.com/uk/practice/heal-by-acupuncture","","Mayfair, WIU 1JN","","","4","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Levitas Clinic London","https://www.doctify.com/uk/practice/levitas-clinic-london-1","","London, W1C 2AP","","","1","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"General Practice Dr Victoria Owen","https://www.doctify.com/uk/practice/general-practice-dr-victoria-owen","","London, SW1W 8BJ","","","2","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The King Lewis Family Practice","https://www.doctify.com/uk/practice/the-king-lewis-family-practice","","SW1W 8BJ","","","1","","","","1-9018083701","Dr Willoughby Oscar Malachy Morgan","Dr Willoughby Oscar Malachy Morgan","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Willoughby Oscar Malachy Morgan","","","","","","","","","","","","","unknown","","","","",""
"The City Of London Medical Centre","https://www.doctify.com/uk/practice/the-city-of-london-medical-centre-3","","London, EC3N 2JY","","","1","","","","1-24009983091","Dr Harendra Gordhanbhai Patel","Dr Harendra Gordhanbhai Patel","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Harendra Gordhanbhai Patel","","","","","","","","","","","","","unknown","","","","",""
"United Wellness","https://www.doctify.com/uk/practice/united-wellness","","Edgware, HA8 7EB","","","92","","","","1-22211032848","Dr Pragati Kakkar","Dr Pragati Kakkar","exact","","","","","","","NOT_FOUND","","","","","Dr Pragati Kakkar","","","","","","","","","","","","","unknown","","","","",""
"Dr Shantir’s Practice","https://www.doctify.com/uk/practice/dr-shantirs-practice","","London, E17 5JL","","","5","","","","1-496516656","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"MyGynaePlus","https://www.doctify.com/uk/practice/mygynaeplus","","London, W13 9LL","","","4","","","","1-23039703692","Dr Shashank Shamkumar Patil","Dr Shashank Shamkumar Patil","exact","","","","","","","NOT_FOUND","","","","","Dr Shashank Shamkumar Patil","","","","","","","","","","","","","unknown","","","","",""
"LK Nutrition","https://www.doctify.com/uk/practice/lk-nutrition","","London, W1G 0AR","","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Delta Centre Health ltd - London","https://www.doctify.com/uk/practice/delta-centre-health-ltd-london","","Fitzrovia, London, W1T6EB","","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"London Doctors Clinic - Liverpool Street","https://www.doctify.com/uk/practice/london-doctors-clinic-liverpool-street","","London, EC2M 4TP","","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Archway studios","https://www.doctify.com/uk/practice/archway-studios","","London, N19 5JT","","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Gynaescope","https://www.doctify.com/uk/practice/gynaescope","","Kingston upon Thames, KT2 7EG","","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Medical Prime Menopause Clinic","https://www.doctify.com/uk/practice/medical-prime-clinic","","London, EC2M 5TU","General Practice (GP); Women's Health","","71","","","","1-10232851722","Dr Theodora Kalentzi","Dr Theodora Kalentzi","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Theodora Kalentzi","","","","","","","","","","","","","unknown","","","","",""
"Pixie and Sera","https://www.doctify.com/uk/practice/pixie-and-sera","","London, W1G 6HL","Health Screening; Dermatology; General Practice (GP); Men's Health; Women's Health","","366","","","","1-11724368667","Dr Sera Shoukru","","exact","","","","","","","NOT_FOUND","","","","","Dr Sera Shoukru","","","","","","","","","","","","","unknown","","","","",""
"Dr Sophia Khalique Associates","https://www.doctify.com/uk/practice/dr-sophia-khalique-clinic","","London, W1G 6AH","General Practice (GP); Blood Tests; Diagnostics & Testing; General Practice (GP) (Video Consultation); Medical Weight Loss; Nursing; Psychotherapy; Travel Medicine; Women's Health","","364","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Knightsbridge Doctors","https://www.doctify.com/uk/practice/knightsbridge-doctors","","London, SW3 1AP","Health Screening; Dermatology; General Practice (GP); Gynaecology; Imaging (Scans); Lifestyle Medicine; Men's Health; Neonatal Medicine; Obstetrics; Obstetrics & Gynaecology; Occupational Medicine; Paediatric Allergy, Immunology and Infectious Diseases; Paediatric Cardiology; Paediatrics; Primary Care; Sexual & Reproductive Health; Weight Loss & Bariatric Surgery; Women's Health; Xray","","227","","","","1-7192899466","","","exact","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"CP+R","https://www.doctify.com/uk/practice/cpr","","London, W1G","Preventative Cardiology; Cardiology; Exercise Medicine; Sports & Exercise Medicine","","220","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"NADclinic","https://www.doctify.com/uk/practice/nadclinic","","London, W1G 8GN","Lifestyle Medicine; Functional Medicine; Holistic Therapy; Integrated Medicine; Integrative Medicine","","61","","","","1-22153809005","Miss Juliette Powers","Dr Anupam Tony Banerjee","exact","","","","","","","NOT_FOUND","","","","","Dr Anupam Tony Banerjee","","","","","","","","","","","","","unknown","","","","",""
"The Harrow Health Care Centre","https://www.doctify.com/uk/practice/the-harrow-health-care-centre-1","","Sudbury Hill, Harrow, HA1 3RX","Blood Tests; Health Screening; Covid-19 Testing; Diagnostics & Testing; Ear Care; General Practice (GP); General Practice (GP) (Video Consultation); Men's Health; Nursing; Occupational Medicine; Primary Care; Travel Medicine; Women's Health","","304","","","","1-23513365405","Dr Gayathiri Kogulanathan","Dr Alex Fragoyannis","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Alex Fragoyannis","","","","","","","","","","","","","unknown","","","","",""
"Chelsea Medics","https://www.doctify.com/uk/practice/chelsea-medics","","London, SW3 6NJ","Health Screening; Lifestyle Medicine; General Practice (GP); Functional Medicine","","173","","","","1-23103289618","Mr Christian Alexander Mueller","Mr Neil Anthony Buckley","exact","","","","","","","NOT_FOUND","","","","","Mr Neil Anthony Buckley","","","","","","","","","","","","","unknown","","","","",""
"Marylebone Health Group (MHG)","https://www.doctify.com/uk/practice/chhp-london","","London, W1G 7HH","Physical Therapy; General Physiotherapy; Specialised Exercise Programmes (Rehabilitation); Dietetics; Musculoskeletal Medicine; Nutrition & Diet; Acupuncture; Addiction Medicine; Blood Tests; Cardiology; Clinical Psychology; Counselling psychologist; Diagnostic Pathway – Cardiac; Diagnostics & Testing; Educational psychologist; Environmental Medicine; Exercise Medicine; Functional Medicine; Health Screening; Health psychologist; Holistic Therapy; Inflammatory Bowel Diseases (IBD) such as ulcerative Colitis or Crohn's Disease; Integrated Medicine; Integrative Medicine; Lifestyle Medicine; Mental Health; Mobility; Nutrition; Nutritionist; Occupational Psychology; Osteopathy; Pain Management; Pain Medicine; Physiology; Physiotherapy; Practitioner psychology; Psychology; Regenerative Medicine; Registered psychologist; Rehabilitation Medicine; Respiratory Medicine; Sleep Medicine; Spinal Medicine; Sports & Exercise Medicine; Sports & Exercise Psychology; Sports Injury; Sports Rehabilitation; Sports Science; Sports Therapy","","811","","","","1-10722516412","Ms Elizabeth Anne Moore","Ms Elizabeth Anne Moore","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Elizabeth Anne Moore","","","","","","","","","","","","","unknown","","","","",""
"The Harley Street Hospital","https://www.doctify.com/uk/practice/the-harley-street-hospital","","London, W1G 9QJ","Andrology; Foot & Ankle Surgery; General Physiotherapy; General Urology; Genito-Urinary Medicine; Hand & Wrist Surgery; Hand Surgery; Neuromodulation; Obstetrics & Gynaecology; Ophthalmology; Orthopaedic Surgery; Osteopathy; Pain Management; Physiotherapy; Podiatric Surgery; Podiatry; Spinal Medicine; Spinal Surgery; Trauma Surgery; Urology","","176","","","","1-26535523665","","Mr Richard Karim","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Richard Karim","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Dr Wayne Cottrell & Co","https://www.doctify.com/uk/practice/dr-wayne-cottrell-gp","","London, E14 5HX","Health Screening; Blood Tests; Breastfeeding and Lactation Counsellor; Child Mental Health; Counselling psychologist; Covid-19 Testing; Diagnostics & Testing; General Practice (GP); General Practice (GP) (Video Consultation); Genital Dermatology; Genito-Urinary Medicine; HIV & AIDS Medicine; Home Testing; Immunology; Infectious Diseases; Lifestyle Medicine; Medical Weight Loss; Men's Health; Nursing; Paediatrics; Primary Care; Psychology; Psychotherapy; Registered psychologist; Sexual & Reproductive Health; Travel Medicine; Women's Health","","585","","","","1-2670384848","","Dr Wayne Aubrey Cottrell","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Wayne Aubrey Cottrell","","","","","","","","","","","","","unknown","","","","",""
"Real You Clinic","https://www.doctify.com/uk/practice/real-you-medical-aesthetics-clinic","","London, TW1 3EG","Cosmetic (Aesthetic) Medicine","","111","","","","1-8854768349","Dr Kathryn Taylor-Barnes","Dr Kathryn Taylor-Barnes","exact","","","","","","","NOT_FOUND","","","","","Dr Kathryn Taylor-Barnes","","","","","","","","","","","","","unknown","","","","",""
"The Forbes Clinic","https://www.doctify.com/uk/practice/the-forbes-clinic","","London, W1G9PB","Mental Health; Functional Medicine; Integrative Medicine; Lifestyle Medicine; Allergy Medicine; Dietetics; Holistic Therapy; Homeopathy; Inflammatory Bowel Diseases (IBD) such as ulcerative Colitis or Crohn's Disease; Integrated Medicine; Irritable Bowel Syndrome (IBS); Nutrition; Nutrition & Diet; Nutritionist; Pain Management","","67","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Physicians' Clinic London","https://www.doctify.com/uk/practice/the-physicians-clinic","","London, W1G 7AE","General Dermatology; Haematology; Cardiology; Dermatology; Endocrinology & Diabetes; Gastroenterology; Infectious Diseases; MOHS Surgery; Neurology; Renal Medicine (Nephrology); Respiratory Medicine; Rheumatology","","441","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Deia Health","https://www.doctify.com/uk/practice/deia-health","","London, W1G 9QW","Lifestyle Medicine; General Practice (GP)","","35","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Wellman Clinic","https://www.doctify.com/uk/practice/the-wellman-clinic","","London, W1G 7BU","Diabetes; Diagnostics & Testing; Endocrinology; Endocrinology & Diabetes; General (Internal) Medicine; General Practice (GP); Health Screening; Medical Weight Loss; Men's Health; Nutrition; Nutrition & Diet; Primary Care; Sexual & Reproductive Health","","10","","","","1-117297492","Dr Richard Petty","Dr Richard Petty","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Richard Petty","","","","","","","","","","","","","unknown","","","","",""
"London Blood Tests","https://www.doctify.com/uk/practice/london-blood-tests","","London, SW3 2ND","Blood Tests; Allergy Medicine; Clinical Genetics; Diagnostics & Testing; General Practice (GP); General Practice (GP) (Video Consultation); Health Screening; Home Testing; Homeopathy; Imaging (Scans); Immunology; Lifestyle Medicine; Medical Weight Loss; Men's Health; Microbiology and Virology; Nutrition; Nutrition & Diet; Nutritionist; Sexual & Reproductive Health; Women's Health; Xray","","21","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Better - Soho","https://www.doctify.com/uk/practice/better-soho","","London, WC2H 0DT","General Physiotherapy; Acupuncture; Physiotherapy; Psychology; Registered psychologist; Sports Injury; Sports Rehabilitation","","68","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Dr SW Clinics","https://www.doctify.com/uk/practice/dr-sw-clinics","","London, W1G 8QN","Cosmetic (Aesthetic) Medicine","","36","","","","1-10807636458","Dr Timothy Beazleigh","Dr Timothy Beazleigh","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Timothy Beazleigh","","","","","","","","","","","","","unknown","","","","",""
"Dynamic Change Consultants","https://www.doctify.com/uk/practice/dynamic-change-consultants","","London, NW3 1ND","Clinical Psychology; ADHD Coaching; Addiction Medicine; Bipolar Disorder; Cancer Care; Challenging Behaviour; Child & Adolescent Psychotherapy; Coaching; Counselling psychologist; Dermatology; Educational psychologist; Health Coaching; Health and Social Care; Health psychologist; Holistic Therapy; Inflammatory Bowel Diseases (IBD) such as ulcerative Colitis or Crohn's Disease; Irritable Bowel Syndrome (IBS); Mental Health; Mental Health Condition; Neurophysiology; Occupational Medicine; Occupational Psychology; Practitioner psychology; Psychology; Psychotherapy; Registered psychologist","","4","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Garden Suburb Health & Wellness","https://www.doctify.com/uk/practice/garden-suburb-health-wellness","","London, NW11 7HT","Audiology; Dermatology; Ear Care; General Practice (GP); General Practice (GP) (Video Consultation); Health Screening; Men's Health; Sexual & Reproductive Health; Women's Health","","9","","","","1-28122631451","Dr Harry Zvi Ephraim Greenberg","Dr Harry Zvi Ephraim Greenberg","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Harry Zvi Ephraim Greenberg","","","","","","","","","","","","","unknown","","","","",""
"Barnes Private Practice","https://www.doctify.com/uk/practice/barnes-private-practice","","Barnes, SW13 9RU","General Practice (GP); Men's Health; Women's Health","","39","","","","1-8203296170","Mr Christian Alexander Mueller","Mr John Reay","exact","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","","","","","unknown","","","","",""
"The London Diabetes Centre","https://www.doctify.com/uk/practice/the-london-diabetes-centre","","London, W1U 5HJ","Diabetes; General (Internal) Medicine; Clinical Pharmacology; Endocrinology & Diabetes; Medical Weight Loss; Nutrition; Nutrition & Diet; Nutritionist","","324","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"LOC - Leaders in Oncology Care","https://www.doctify.com/uk/practice/loc-leaders-in-oncology-care","","London, W1G 6AF","Oncology; Haematology","","387","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"London Heart Centre","https://www.doctify.com/uk/practice/london-heart-centre","","London, W1G 6NB","Cardiology","","205","","","","1-927196774","Mr Stephen Kirwin","Dr Arvinder Singh Kurbaan","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Arvinder Singh Kurbaan","","","","","","","","","","","","","unknown","","","","",""
"The Royal Marsden Private Care - Cavendish Square","https://www.doctify.com/uk/practice/royal-marsden-private-care","","London, W1G 0LP","Gynaecological Oncology; Medical Oncology; Clinical Oncology; Advanced Melanoma; Anal Cancer; Bile Duct Cancer (Cholangiocarcinoma); Biliary Cancer; Bladder Cancer; Blood Cancer; Bone Sarcoma; Bowel Cancer; Brain Cancer; Breast Cancer; Cancer of Unknown Primary; Cancer of the Head, Neck, Mouth, and Tongue; Cervical Cancer; Colon Cancer; Colorectal Cancer; Endometrial Cancer; Eye Cancer; Fallopian Tube Cancer; Gastrointestinal Cancers; Gastrointestinal Stromal Tumour (GIST); Head and Neck Cancers; Laryngeal Cancer; Liver Cancer; Lung Cancer; Mesothelioma; Nasal and Sinus Cancer; Neuro-Oncology; Oesophageal Cancer; Oncology; Osteosarcoma; Ovarian Cancer; Pancreatic Cancer; Rectal Cancer; Renal (Kidney) Cancer: Cryotherapy Treatment; Renal Cancer; Small Bowel Cancer; Soft Tissue Sarcoma; Spinal Metastases; Stereotactic Radiosurgery (SRS); Stomach Cancer Surgery (Gastrectomy); Surgical Oncology; Testicular Cancer; Thymus Gland Cancer; Thyroid Cancer; Tongue Cancer; Urological Oncology; Vaginal Cancer; Vulval Cancer","","71","","","","RPY25","","Miss Mairead Griffin","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Mairead Griffin","","","","","","","","","","","","","unknown","","","","",""
"Equilibrium Clinic - Dr Naomi Whitelaw","https://www.doctify.com/uk/practice/equilibrium-clinic","","London, NW9 9AP","Diagnostics & Testing; General Practice (GP); Women's Health","","2","","","","1-14435359167","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Self London","https://www.doctify.com/uk/practice/self-london","","London, W1G 9PQ","Clinical Psychology; Cosmetic (Aesthetic) Medicine; Dermatology; Nutrition; Practitioner psychology; Psychology; Registered psychologist","","29","","","","1-14927941446","Dr Anjali Mahto","Dr Anjali Mahto","exact","","","","","","","NOT_FOUND","","","","","Dr Anjali Mahto","","","","","","","","","","","","","unknown","","","","",""
"Greenwich Private Doctors","https://www.doctify.com/uk/practice/greenwich-private-doctors","","London, SE10 8JA","Dermatology; General Practice (GP); Medical Weight Loss","","202","","","","1-20392353803","Dr Melvyn Laud Tettehbio Adjei","Dr Melvyn Laud Tettehbio Adjei","exact","","","","","","","NOT_FOUND","","","","","Dr Melvyn Laud Tettehbio Adjei","","","","","","","","","","","","","unknown","","","","",""
"Royal Brompton Hospital Private Consulting Rooms","https://www.doctify.com/uk/practice/royal-brompton-hospital","","London, SW3 6NP","Cardiac Surgery; Cardiology; Cardiothoracic Surgery; Imaging (Scans); Paediatrics; Respiratory Medicine; Thoracic Surgery","","168","","","","1-19017876270","Miss Analie Claire Booth","Mr Mark Dollar","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Mark Dollar","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"LOC at Chelsea","https://www.doctify.com/uk/practice/loc-at-chelsea","","London, SW3 6NJ","Oncology","","70","","","","1-23103289618","Mr Christian Alexander Mueller","Mr Neil Anthony Buckley","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Neil Anthony Buckley","","","","","","","","","","","","","unknown","","","","",""
"Pure Sports Medicine - St Paul's","https://www.doctify.com/uk/practice/pure-sports-medicine-st-pauls","","London, EC4M 9AF","Nutrition; Osteopathy; Physiotherapy; Podiatry; Rheumatology; Sports & Exercise Medicine; Sports Therapy","","46","","","","1-5587600558","Mr Joshua Luke Smith","Ms Sheena Claire Small","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Sheena Claire Small","","","","","","","","","","","","","unknown","","","","",""
"Dr Duncan Birth","https://www.doctify.com/uk/practice/dr-duncan-birth","","London, W1W 5QN","Obstetrics; Maternal & Foetal Medicine; Obstetrics & Gynaecology","","120","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Palace Gate Practice","https://www.doctify.com/uk/practice/palace-gate-practice","","London, W14 8NS","General Practice (GP)","","91","","","","1-17596098836","Mr Christian Alexander Mueller","Mr Neil Anthony Buckley","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Neil Anthony Buckley","","","","","","","","","","","","","unknown","","","","",""
"HOOKE London","https://www.doctify.com/uk/practice/hooke","","London, W1K 5AY","Blood Tests; Clinical Genetics; Diagnostics & Testing; Functional Medicine; General Practice (GP); Health Coaching; Health Screening; Holistic Therapy; Imaging (Scans); Lifestyle Medicine; Men's Health; Nutrition; Physiotherapy; Psychology; Radiology; Women's Health","","3","","","","1-14478101712","Dr David Norman Porter","Mrs Katerina Woolhouse","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Katerina Woolhouse","","","","","","","","","","","","","unknown","","","","",""
